      R          E1             E2
    1.185   -685.4515534   -685.2626612
    1.180   -685.4260680   -685.2368708
    1.175   -685.4001527   -685.2107869
    1.170   -685.3738032   -685.1844046
    1.165   -685.3470149   -685.1577141
    1.160   -685.3197832   -685.1307024
    1.155   -685.2921033   -685.1033543
    1.150   -685.2639703   -685.0756537
    1.145   -685.2353791   -685.0475843
    1.140   -685.2063246   -685.0191302
    1.135   -685.1768014   -684.9902761
    1.130   -685.1468043   -684.9610074
    1.125   -685.1163275   -684.9313104
    1.120   -685.0853653   -684.9011719
    1.115   -685.0539118   -684.8705794
    1.110   -685.0219608   -684.8395208
    1.105   -684.9895059   -684.8079844
    1.100   -684.9565405   -684.7759589
