r y calc
1.12 0.014490019964 0.014490019964
1.125 0.037213506983 0.037213506983
1.13 0.049621812106 0.049621812106
1.135 0.057508020558 0.057508020558
1.14 0.063448232051 0.063448232051
1.145 0.068934330767 0.068934330767
1.15 0.073342723759 0.073342723759
1.155 0.077359293312 0.077359293312
1.16 0.080911325769 0.080911325769
1.165 0.084247917584 0.084247917584
1.17 0.08737351187 0.08737351187
1.175 0.090479231945 0.090479231945
1.18 0.093092899784 0.093092899784
1.185 0.095242069738 0.095242069738
1.19 0.097105398552 0.097105398552
1.195 0.098591078036 0.098591078036
1.2 0.09996081134 0.09996081134
1.205 0.101344350756 0.101344350756
1.21 0.102810437601 0.102810437601
1.215 0.104505522077 0.104505522077
1.22 0.106668305594 0.106668305594
1.225 0.109524874247 0.109524874247
1.23 -0.251955297243 -0.251955297243
1.235 -0.268611306521 0.268611306521
1.24 0.355609567797 0.355609567797
1.245 0.378092064795 0.378092064795
1.25 0.399369131147 -0.399369131147
1.255 0.420631035829 -0.420631035829
1.26 0.442070894386 0.442070894386
1.265 0.463783543053 -0.463783543053
1.27 0.485661890483 0.485661890483
1.275 0.507600567827 0.507600567827
1.28 0.529469224007 0.529469224007
1.285 0.551124218441 -0.551124218441
1.29 0.572416922483 -0.572416922483
1.295 0.593201528755 0.593201528755
1.3 0.613340363929 0.613340363929
1.31 0.651211227255 0.651211227255
1.32 0.685291876121 0.685291876121
1.33 0.715200685344 -0.715200685344
1.34 0.740891585026 0.740891585026
1.35 0.762581157206 0.762581157206
1.36 0.78065104477 -0.78065104477
1.37 0.795561917864 0.795561917864
1.38 0.807788633498 0.807788633498
1.39 0.817817771646 -0.817817771646
1.4 0.825968183497 -0.825968183497
1.41 0.832625752461 0.832625752461
1.42 0.83807843937 -0.83807843937
1.43 0.842564351411 0.842564351411
1.44 0.846276590544 -0.846276590544
1.45 0.84937109534 0.84937109534
1.46 0.851972269941 0.851972269941
1.47 0.854179047102 -0.854179047102
