r y calc
1.12 -0.759896973862 -0.759896973862
1.125 -0.583616105172 -0.583616105172
1.13 -0.500855516134 -0.500855516134
1.135 -0.458187417261 -0.458187417261
1.14 -0.435272306582 -0.435272306582
1.145 -0.422333798727 -0.422333798727
1.15 -0.417034995179 -0.417034995179
1.155 -0.415435846519 -0.415435846519
1.16 -0.417719910747 -0.417719910747
1.165 -0.422160171687 -0.422160171687
1.17 -0.428170872751 -0.428170872751
1.175 -0.435978003411 -0.435978003411
1.18 -0.445591454617 -0.445591454617
1.185 -0.456419192459 -0.456419192459
1.19 -0.46866103891 -0.46866103891
1.195 -0.482203671462 -0.482203671462
1.2 -0.497085973823 -0.497085973823
1.205 -0.513549336879 -0.513549336879
1.21 -0.531767545634 -0.531767545634
1.215 -0.551839752066 -0.551839752066
1.22 -0.574238821453 -0.574238821453
1.225 -0.599158125576 -0.599158125576
1.23 -0.56151045789 0.56151045789
1.235 -0.561967397198 -0.561967397198
1.24 -0.559685003685 -0.559685003685
1.245 -0.56073819718 -0.56073819718
1.25 -0.561743297843 0.561743297843
1.255 -0.562730040248 0.562730040248
1.26 -0.563715655721 -0.563715655721
1.265 -0.564716854369 0.564716854369
1.27 -0.565735695973 -0.565735695973
1.275 -0.566772044742 -0.566772044742
1.28 -0.567823373871 -0.567823373871
1.285 -0.568884952971 0.568884952971
1.29 -0.569951602247 0.569951602247
1.295 -0.571018055667 -0.571018055667
1.3 -0.572079322108 -0.572079322108
1.31 -0.574167212318 -0.574167212318
1.32 -0.576180448934 -0.576180448934
1.33 -0.578089983005 0.578089983005
1.34 -0.579871153044 -0.579871153044
1.35 -0.581501260197 -0.581501260197
1.36 -0.582981242508 0.582981242508
1.37 -0.584297664416 -0.584297664416
1.38 -0.58544724316 -0.58544724316
1.39 -0.586427103485 0.586427103485
1.4 -0.587242294741 0.587242294741
1.41 -0.58789342136 -0.58789342136
1.42 -0.588383886664 0.588383886664
1.43 -0.588717533624 -0.588717533624
1.44 -0.588898705073 0.588898705073
1.45 -0.588931998479 -0.588931998479
1.46 -0.588822138781 -0.588822138781
1.47 -0.588573909025 0.588573909025
