r y calc
1.12 -1.048015379119 1.048015379119
1.125 -1.045927660626 1.045927660626
1.13 -1.043584394547 1.043584394547
1.135 -1.040989988821 1.040989988821
1.14 -1.038233029833 1.038233029833
1.145 -1.035149289319 1.035149289319
1.15 -1.031802056509 1.031802056509
1.155 -1.028159876617 1.028159876617
1.16 -1.024220719842 1.024220719842
1.165 -1.019952271151 1.019952271151
1.17 -1.015386133153 1.015386133153
1.175 -1.01049163299 1.01049163299
1.18 -1.004999099669 1.004999099669
1.185 -0.999009513658 0.999009513658
1.19 -0.992564275013 0.992564275013
1.195 -0.985461409595 0.985461409595
1.2 -0.977371789765 0.977371789765
1.205 -0.968377957458 0.968377957458
1.21 -0.958271410013 0.958271410013
1.215 -0.946610911101 0.946610911101
1.22 -0.933277416276 0.933277416276
1.225 -0.917638623884 0.917638623884
1.23 -0.828465151801 0.828465151801
1.235 -0.777917850522 0.777917850522
1.24 -0.663010179211 0.663010179211
1.245 -0.57579808441 0.57579808441
1.25 -0.482054851493 0.482054851493
1.255 -0.387904528864 0.387904528864
1.26 -0.29950357787 0.29950357787
1.265 -0.220504686024 0.220504686024
1.27 -0.152126547397 0.152126547397
1.275 -0.093865128355 0.093865128355
1.28 -0.044462308874 0.044462308874
1.285 -0.002489305757 0.002489305757
1.29 0.03337756349 -0.03337756349
1.295 0.064262994453 -0.064262994453
1.3 0.091084589774 -0.091084589774
1.31 0.135327444398 -0.135327444398
1.32 0.170363580123 -0.170363580123
1.33 0.198671503833 -0.198671503833
1.34 0.222540009106 -0.222540009106
1.35 0.242862791276 -0.242862791276
1.36 0.260456798133 -0.260456798133
1.37 0.2759058994 -0.2759058994
1.38 0.289537436602 -0.289537436602
1.39 0.301859722469 -0.301859722469
1.4 0.312999692063 -0.312999692063
1.41 0.32314075258 -0.32314075258
1.42 0.332425650324 -0.332425650324
1.43 0.340968335217 -0.340968335217
1.44 0.348860887855 -0.348860887855
1.45 0.356178799518 -0.356178799518
1.46 0.362984685068 -0.362984685068
1.47 0.369331090313 -0.369331090313
1.48 0.375262541236 -0.375262541236
1.49 0.380817097204 -0.380817097204
1.5 0.386027636236 -0.386027636236
1.51 0.390922761326 -0.390922761326
1.52 0.395527634268 -0.395527634268
1.53 0.399862916057 -0.584444969918
1.54 0.403950193237 0.583359755049
1.55 0.407805806712 -0.582172778749
1.56 0.411445553629 -0.580887875802
1.57 0.414883704653 0.579509096378
1.58 0.418173267751 0.578002786201
1.59 0.421245374356 0.576445722415
1.6 0.424151160029 0.574805913662
1.61 0.426900423701 0.573086809309
1.62 0.429502440931 0.571292026494
1.63 0.431965711272 0.569424878598
1.64 0.434298166255 0.567488746479
1.65 0.436471233886 0.565487441761
1.66 0.438566601442 0.56342358227
1.67 0.440553317271 -0.561301164184
1.68 0.442438363395 -0.559123968988
1.69 0.444228750513 -0.556896075122
1.7 0.445931493123 0.55462209564
1.71 0.447553818099 -0.552307296536
1.72 0.449103249669 -0.549957947264
1.73 0.450587658655 -0.547581887008
1.74 0.452015466027 0.545188956741
1.75 0.453395484814 -0.542792294367
1.76 0.454736784347 -0.540409887945
1.77 0.456047713138 0.538067315913
1.8 0.459781283396 0.531780602491
1.81 0.460833146565 -0.530213583224
1.82 0.461522641837 -0.529087232015
1.83 0.461581145366 -0.528288892278
1.84 0.460953125543 0.527481488684
1.85 0.459823373358 0.526418809842
1.86 0.458385104733 -0.525047060322
1.87 0.456755464178 -0.52339415021
1.88 0.454996128891 0.521502265281
1.89 0.453138851481 -0.519408192679
1.9 0.451202089209 0.517142143425
1.91 0.449195125686 0.514726835746
1.92 0.447123702103 -0.512180298034
1.93 0.444991353387 0.509516878675
1.94 0.442800457028 0.50674824349
1.95 0.440552829291 0.503883800572
1.957 0.43894648876 0.501826042003
1.96 0.438249868146 -0.500931581628
1.97 0.435892851662 0.497898348072
1.98 0.433483016178 -0.494789924111
1.99 0.43102154385 -0.491611381884
2.0 0.428509641963 0.488367231009
2.01 0.425948614248 0.485061512678
2.02 0.423339837703 -0.481697900856
2.03 0.420684658047 -0.478279774663
2.04 0.418003727446 -0.4748102799
2.05 0.415259743843 -0.47129233339
2.06 0.41247373633 -0.467729737289
2.07 0.409647363149 0.464123262503
2.08 0.406782870733 0.460477185157
2.09 0.403880182073 0.456792438309
2.1 0.40094159565 -0.453072405448
2.11 0.397968610762 -0.44931892482
2.112 0.397369994891 -0.448564442056
2.12 0.394962722125 -0.445534466025
2.13 0.391925346599 0.441721207911
2.14 0.38884782017 -0.437887827343
2.15 0.385751431083 -0.434023875461
2.16 0.382627561118 -0.430137279666
2.17 0.379477627771 -0.426230062964
2.18 0.376302564157 0.422303833123
2.19 0.373103734474 -0.418360532125
2.2 0.369861976823 -0.41440700486
2.21 0.366619222316 -0.410433891849
2.22 0.363356256463 -0.406449078811
2.23 0.36007412843 -0.402454137234
2.24 0.356774133892 -0.398450842158
2.25 0.353457589985 -0.394440882722
2.26 0.350125689372 0.390425936777
2.27 0.346779840527 0.386407671473
2.28 0.343421443657 -0.382387745923
2.29 0.340051952128 0.378367807412
2.3 0.336672881604 0.374349502218
2.32 0.329892257565 -0.366324341
2.34 0.323092291804 -0.358325075819
2.36 0.31628622658 -0.350364297284
2.38 0.309487295247 0.342454188708
2.4 0.302708420965 0.334606198829
2.42 0.295961797106 0.326830913447
2.44 0.289258452057 0.319137799946
2.46 0.282607996026 0.311534954174
2.48 0.277222439144 -0.305136485539
2.5 0.270466954656 0.297561281258
2.52 0.263801918008 0.290080334435
2.54 0.257221070901 0.282715302652
